ID;Housing_informality;Labor_informality;Unemployment;Tertiary_education;Female_household;Children;Population;Area;Housing_informality_2011
0;9.64492;39.35694;5.662106;7.789062;20.35216;7.579011;45144.23;1054926;19.65937
1;0;25.37066;12.9933;8.930378;13.09218;1.785297;15141.41;759552.6;6
2;0;15.8763;1.562818;42.28706;13.42271;2.013669;13414.14;683288.5;0
3;0;17.22891;3.323759;33.82393;23.53784;0;6123.882;1903856;4.736372
4;0.9077003;19.00577;2.418973;24.83088;15.64655;4.082501;26530.26;1096316;0
5;8.326289;57.98547;3.844856;0.8585604;11.10514;6.833471;10558.51;221788.2;22.85714
6;2.802862;16.07049;3.104968;33.72459;26.52462;6.017192;7493.55;713737.2;0
7;5.038092;36.50566;8.499601;8.462667;17.58558;3.900873;13906.33;355594.7;3.125
8;20.37043;47.05584;1.449551;0.5839368;12.2809;8.773445;15423.38;254183.4;25
9;12.81259;42.62122;7.571149;0.6761687;12.08481;4.700844;13439.3;190828.6;17.52237
10;0;17.44295;0;24.14122;16.65343;4.171616;10965.47;567348.8;0
11;6.152395;45.78514;13.54196;2.991354;10.68333;5.983112;21113.99;467275.6;9.79405
12;11.97759;28.19923;9.295913;1.04946;10.52673;4.205134;8568.802;316952.7;2.380952
13;2.776724;18.5189;12.90317;26.66807;9.999368;0.8330346;10831.13;353027.3;0
14;3.563284;46.13117;9.7188;4.499936;15.72984;3.937443;16111.42;573190.7;0
15;4.886467;41.30566;6.123382;0.735026;13.9702;2.941672;12272.24;210329.8;15.94796
16;6.073648;42.06887;15.57169;5.666193;16.97848;3.768528;9585.103;152836.9;7.692307
17;0;32.62867;10.90139;12.28563;14.76467;3.293268;10959.5;371580.7;6.034969
18;17.39654;30.55475;0;12.35043;12.34615;2.470086;7306.517;210191.7;4.347826
19;4.07029;26.53721;9.649024;13.79938;12.15859;6.85754;6495.953;1126649;0
20;2.716461;28.69845;5.281551;2.695285;14.7003;4.663781;23453.49;817049.1;6.410256
21;0;11.11111;21.73913;10;11.66667;1.666667;5397.41;227542.3;0
22;12.85802;42.11249;11.62537;2.32506;17.21042;5.581389;19390.59;523210.8;19.75309
23;5.722396;51.1555;0;6.406174;17.58293;3.998184;11317.26;217261;2.941176
24;1.850753;31.89718;1.427101;12.81992;14.01412;3.046547;14801.14;567204.1;0
25;13.40868;45.83667;7.357942;4.161118;12.54637;7.822271;12999.45;406667.9;6.818182
26;8.139854;45.45354;10.81114;4.081462;13.60583;5.102188;26511.91;552623.9;7.526882
27;0;12.06449;2.737858;31.49881;12.9121;5.165737;10439.84;249121.1;0
28;3.846539;21.87678;11.11192;24.32604;27.02541;2.702893;6662.402;363936.2;3.333333
29;9.998712;40.91618;15.38747;0;11.28924;1.612641;5584.801;182439.7;5
30;11.4253;48.20539;10.75584;0.4307115;15.51714;6.465284;20934.8;617702.1;19.27711
